session_id,Admin_Unit_Code,park_name,habitat,is_shared_park,Plot_Name,Site_Name,Date,Visit,Observer,month,month_name,week,day_of_season,start_hour,time_band,session_duration_min,Temperature,Humidity,temp_band,humidity_band,Sky,Wind,Disturbance,species_per_session,sightings_per_session,at_risk_sightings,flyovers,pct_at_risk_per_session,has_at_risk
ANTI-0151|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0151,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,10,Late (9-10am),10.0,24.2000007629395,79.9000015258789,20-25C,60-80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,7,9,1,0,11.11,True
ANTI-0151|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0151,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,6,Early (5-6am),10.0,21.0,74.5999984741211,20-25C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,8,9,1,0,11.11,True
ANTI-0153|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0153,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,6,Early (5-6am),10.0,26.7000007629395,62.2999992370605,25-30C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,10,13,0,0,0.0,False
ANTI-0153|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0153,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,6,Early (5-6am),10.0,21.6000003814697,77.5,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,13,18,0,1,0.0,False
ANTI-0153|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0153,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,8,Mid (7-8am),10.0,27.2999992370605,78.5,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,13,16,0,1,0.0,False
ANTI-0154|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0154,,2018-05-22,1,Brian Swimelar,2018-05,May,21,15,7,Mid (7-8am),10.0,25.1000003814697,66.9000015258789,25-30C,60-80%,Mist/Drizzle,"Gentle breeze (8-12 mph), leaves in motion",No effect on count,9,11,0,2,0.0,False
ANTI-0154|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0154,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,5,Early (5-6am),10.0,20.2000007629395,82.5999984741211,20-25C,>80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,11,14,0,0,0.0,False
ANTI-0154|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0154,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,8,Mid (7-8am),10.0,27.7999992370605,75.1999969482422,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,10,14,0,0,0.0,False
ANTI-0155|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0155,,2018-05-22,1,Brian Swimelar,2018-05,May,21,15,7,Mid (7-8am),10.0,25.5,68.4000015258789,25-30C,60-80%,Mist/Drizzle,Light breeze (4-7 mph) wind felt on face,No effect on count,11,17,0,3,0.0,False
ANTI-0155|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0155,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,8,Mid (7-8am),10.0,22.7000007629395,63.7000007629395,20-25C,60-80%,Clear or Few Clouds,"Gentle breeze (8-12 mph), leaves in motion",No effect on count,5,6,0,0,0.0,False
ANTI-0155|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0155,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,8,Mid (7-8am),10.0,24.2999992370605,83.0,20-25C,>80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,10,13,0,1,0.0,False
ANTI-0156|2018-05-22|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0156,,2018-05-22,1,Brian Swimelar,2018-05,May,21,15,6,Early (5-6am),10.0,22.6000003814697,61.0999984741211,20-25C,60-80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,No effect on count,10,13,0,3,0.0,False
ANTI-0156|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0156,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,8,Mid (7-8am),10.0,22.5,63.7999992370605,20-25C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,12,15,0,0,0.0,False
ANTI-0156|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0156,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,6,Early (5-6am),10.0,20.7999992370605,81.1999969482422,20-25C,>80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,11,14,0,1,0.0,False
ANTI-0160|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0160,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,6,Early (5-6am),10.0,26.0,65.5,25-30C,60-80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Serious effect on count,10,13,0,3,0.0,False
ANTI-0160|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0160,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,6,Early (5-6am),10.0,21.6000003814697,80.6999969482422,20-25C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,16,19,0,0,0.0,False
ANTI-0160|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0160,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,9,Late (9-10am),10.0,27.5,79.0,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,9,12,0,1,0.0,False
ANTI-0161|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0161,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,7,Mid (7-8am),10.0,27.1000003814697,71.0999984741211,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,11,16,0,6,0.0,False
ANTI-0161|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0161,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,6,Early (5-6am),10.0,20.7999992370605,85.4000015258789,20-25C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,14,19,0,1,0.0,False
ANTI-0161|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0161,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,9,Late (9-10am),10.0,30.3999996185303,67.5,>30C,60-80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,10,13,0,0,0.0,False
ANTI-0162|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0162,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,7,Mid (7-8am),10.0,25.7999992370605,65.5,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,7,10,0,1,0.0,False
ANTI-0162|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0162,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,7,Mid (7-8am),10.0,21.3999996185303,86.4000015258789,20-25C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,12,12,0,1,0.0,False
ANTI-0162|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0162,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,8,Mid (7-8am),10.0,23.7999992370605,83.9000015258789,20-25C,>80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,14,17,0,0,0.0,False
ANTI-0163|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0163,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,7,Mid (7-8am),10.0,26.3999996185303,72.4000015258789,25-30C,60-80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,15,20,0,1,0.0,False
ANTI-0163|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0163,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,8,Mid (7-8am),10.0,22.7000007629395,83.1999969482422,20-25C,>80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,17,18,0,1,0.0,False
ANTI-0163|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0163,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,7,Mid (7-8am),10.0,21.7999992370605,76.3000030517578,20-25C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,11,16,0,1,0.0,False
ANTI-0169|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0169,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,8,Mid (7-8am),10.0,25.6000003814697,67.0,25-30C,60-80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Serious effect on count,5,7,0,0,0.0,False
ANTI-0169|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0169,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,7,Mid (7-8am),10.0,21.7999992370605,83.0,20-25C,>80%,Cloudy/Overcast,Light air movement (1-3 mph) smoke drifts,Slight effect on count,10,14,0,0,0.0,False
ANTI-0169|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0169,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,7,Mid (7-8am),10.0,23.0,80.8000030517578,20-25C,>80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Slight effect on count,7,9,1,0,11.11,True
ANTI-0170|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0170,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,8,Mid (7-8am),10.0,24.2999992370605,69.0999984741211,20-25C,60-80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,Serious effect on count,9,12,0,1,0.0,False
ANTI-0170|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0170,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,7,Mid (7-8am),10.0,21.2000007629395,87.3000030517578,20-25C,>80%,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,11,13,1,0,7.69,True
ANTI-0170|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0170,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,7,Mid (7-8am),10.0,21.8999996185303,81.0,20-25C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,12,16,0,0,0.0,False
ANTI-0171|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0171,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,8,Mid (7-8am),10.0,24.2999992370605,69.0999984741211,20-25C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,4,5,0,1,0.0,False
ANTI-0171|2018-06-25|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0171,,2018-06-25,2,Elizabeth Oswald,2018-06,June,26,49,7,Mid (7-8am),10.0,21.7999992370605,84.3000030517578,20-25C,>80%,Cloudy/Overcast,Light breeze (4-7 mph) wind felt on face,No effect on count,13,14,0,0,0.0,False
ANTI-0171|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0171,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,7,Mid (7-8am),10.0,22.7999992370605,80.3000030517578,20-25C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,10,11,1,0,9.09,True
ANTI-0174|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0174,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,9,Late (9-10am),10.0,25.2999992370605,64.5,25-30C,60-80%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",No effect on count,12,15,0,2,0.0,False
ANTI-0174|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0174,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,9,Late (9-10am),10.0,25.6000003814697,39.5999984741211,25-30C,<40%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,10,11,0,0,0.0,False
ANTI-0174|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0174,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,9,Late (9-10am),10.0,33.4000015258789,55.5,>30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,11,14,0,1,0.0,False
ANTI-0180|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0180,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,10,Late (9-10am),10.0,28.3999996185303,54.0999984741211,25-30C,40-60%,Clear or Few Clouds,"Gentle breeze (8-12 mph), leaves in motion",No effect on count,4,6,0,3,0.0,False
ANTI-0180|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0180,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,8,Mid (7-8am),10.0,24.2000007629395,45.7999992370605,20-25C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,9,9,0,1,0.0,False
ANTI-0180|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0180,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,10,Late (9-10am),10.0,35.5999984741211,36.7999992370605,>30C,<40%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,7,9,0,0,0.0,False
ANTI-0181|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0181,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,9,Late (9-10am),10.0,25.1000003814697,61.0,25-30C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,7,8,0,0,0.0,False
ANTI-0181|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0181,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,9,Late (9-10am),10.0,24.7999992370605,51.4000015258789,20-25C,40-60%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,9,11,0,0,0.0,False
ANTI-0181|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0181,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,10,Late (9-10am),10.0,36.2000007629395,41.7999992370605,>30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,9,10,0,2,0.0,False
ANTI-0182|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0182,,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,8,Mid (7-8am),10.0,29.2000007629395,49.5,25-30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,8,12,0,0,0.0,False
ANTI-0182|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0182,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,9,Late (9-10am),10.0,23.6000003814697,54.4000015258789,20-25C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,12,14,0,0,0.0,False
ANTI-0182|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0182,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,10,Late (9-10am),10.0,34.7999992370605,48.7999992370605,>30C,40-60%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,10,15,0,0,0.0,False
ANTI-0183|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0183,,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,8,Mid (7-8am),10.0,26.7000007629395,64.6999969482422,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,11,16,0,3,0.0,False
ANTI-0183|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0183,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,9,Late (9-10am),10.0,24.0,57.4000015258789,20-25C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,12,15,0,0,0.0,False
ANTI-0183|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0183,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,10,Late (9-10am),10.0,30.5,54.5,>30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,8,11,0,0,0.0,False
ANTI-0184|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0184,,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,7,Mid (7-8am),10.0,26.0,54.2000007629395,25-30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,9,15,0,1,0.0,False
ANTI-0184|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0184,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,6,Early (5-6am),10.0,14.8999996185303,87.5,<15C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,18,19,0,4,0.0,False
ANTI-0184|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0184,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,8,Mid (7-8am),10.0,30.6000003814697,54.5,>30C,40-60%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,10,14,0,0,0.0,False
ANTI-0188|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0188,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,10,Late (9-10am),10.0,29.0,52.5999984741211,25-30C,40-60%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",Slight effect on count,7,12,0,3,0.0,False
ANTI-0188|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0188,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,8,Mid (7-8am),10.0,22.2000007629395,62.0,20-25C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,11,13,0,3,0.0,False
ANTI-0188|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0188,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,10,Late (9-10am),10.0,34.2000007629395,59.0,>30C,40-60%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,10,12,0,0,0.0,False
ANTI-0189|2018-05-23|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0189,,2018-05-23,1,Brian Swimelar,2018-05,May,21,16,10,Late (9-10am),10.0,28.2000007629395,52.4000015258789,25-30C,40-60%,Partly Cloudy,"Gentle breeze (8-12 mph), leaves in motion",No effect on count,6,6,0,2,0.0,False
ANTI-0189|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0189,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,8,Mid (7-8am),10.0,20.3999996185303,67.0999984741211,20-25C,60-80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Slight effect on count,13,13,0,0,0.0,False
ANTI-0189|2018-07-16|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0189,,2018-07-16,3,Kimberly Serno,2018-07,July,29,70,10,Late (9-10am),10.0,37.2999992370605,47.4000015258789,>30C,40-60%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,9,12,0,1,0.0,False
ANTI-0190|2018-05-24|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0190,ANTI 2,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,8,Mid (7-8am),10.0,27.2999992370605,52.9000015258789,25-30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,14,15,0,1,0.0,False
ANTI-0190|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0190,ANTI 2,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,8,Mid (7-8am),10.0,21.2999992370605,69.5,20-25C,60-80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,11,11,0,0,0.0,False
ANTI-0191|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0191,,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,8,Mid (7-8am),10.0,28.5,59.0999984741211,25-30C,40-60%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,8,10,0,1,0.0,False
ANTI-0191|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0191,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,7,Mid (7-8am),10.0,18.7000007629395,85.8000030517578,15-20C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,12,15,0,0,0.0,False
ANTI-0191|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0191,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,9,Late (9-10am),10.0,31.0,49.4000015258789,>30C,40-60%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,6,8,0,0,0.0,False
ANTI-0192|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0192,,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,9,Late (9-10am),10.0,30.2000007629395,46.5,>30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,9,11,0,0,0.0,False
ANTI-0192|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0192,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,6,Early (5-6am),10.0,14.5,89.0999984741211,<15C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,14,17,0,1,0.0,False
ANTI-0192|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0192,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,9,Late (9-10am),10.0,33.4000015258789,48.5999984741211,>30C,40-60%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,9,13,0,0,0.0,False
ANTI-0194|2018-05-24|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0194,ANTI 2,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,7,Mid (7-8am),10.0,23.7999992370605,57.9000015258789,20-25C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Slight effect on count,8,11,0,0,0.0,False
ANTI-0194|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0194,ANTI 2,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,10,Late (9-10am),10.0,25.1000003814697,67.9000015258789,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,8,8,1,0,12.5,True
ANTI-0199|2018-05-24|V1,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0199,,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,9,Late (9-10am),10.0,29.0,55.0,25-30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,12,15,0,1,0.0,False
ANTI-0199|2018-06-26|V2,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0199,,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,7,Mid (7-8am),10.0,16.1000003814697,90.3000030517578,15-20C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,17,20,1,0,5.0,True
ANTI-0199|2018-07-13|V3,ANTI,Antietam National Battlefield,Grassland,True,ANTI-0199,,2018-07-13,3,Kimberly Serno,2018-07,July,28,67,9,Late (9-10am),10.0,35.5,43.5,>30C,40-60%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Slight effect on count,7,8,1,0,12.5,True
ANTI-0200|2018-05-24|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0200,ANTI 2,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,9,Late (9-10am),10.0,26.2000007629395,68.5999984741211,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,6,8,0,0,0.0,False
ANTI-0200|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0200,ANTI 2,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,7,Mid (7-8am),10.0,15.5,89.8000030517578,15-20C,>80%,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,No effect on count,12,13,0,0,0.0,False
ANTI-0201|2018-05-24|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0201,ANTI 2,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,10,Late (9-10am),10.0,25.8999996185303,55.2000007629395,25-30C,40-60%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,9,13,0,0,0.0,False
ANTI-0201|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0201,ANTI 2,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,6,Early (5-6am),10.0,14.8000001907349,90.9000015258789,<15C,>80%,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,No effect on count,16,16,1,0,6.25,True
ANTI-0206|2018-05-24|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0206,ANTI 2,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,10,Late (9-10am),10.0,26.5,68.5999984741211,25-30C,60-80%,Clear or Few Clouds,Calm (< 1 mph) smoke rises vertically,No effect on count,10,14,1,0,7.14,True
ANTI-0206|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0206,ANTI 2,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,7,Mid (7-8am),10.0,15.6000003814697,89.4000015258789,15-20C,>80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,14,14,1,0,7.14,True
ANTI-0207|2018-05-24|V1,ANTI,Antietam National Battlefield,Forest,True,ANTI-0207,ANTI 2,2018-05-24,1,Brian Swimelar,2018-05,May,21,17,10,Late (9-10am),10.0,25.5,66.5,25-30C,60-80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,9,12,1,0,8.33,True
ANTI-0207|2018-06-26|V2,ANTI,Antietam National Battlefield,Forest,True,ANTI-0207,ANTI 2,2018-06-26,2,Elizabeth Oswald,2018-06,June,26,50,6,Early (5-6am),60.0,15.3999996185303,91.8000030517578,15-20C,>80%,Clear or Few Clouds,Light air movement (1-3 mph) smoke drifts,No effect on count,16,16,1,0,6.25,True
CATO-0003|2018-05-25|V1,CATO,Catoctin Mountain Park,Forest,False,CATO-0003,CATO 1,2018-05-25,1,Elizabeth Oswald,2018-05,May,21,18,9,Late (9-10am),10.0,22.6000003814697,64.0,20-25C,60-80%,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,No effect on count,11,11,1,0,9.09,True
